Unique Identifier,Name,Reports To,Line Detail 1,Line Detail 2,Organization Name
22_STEFANIA_SPERANDEI,STEFANIA SPERANDEI,1_CHRIS_ALLAM,Director of Software Engineering e Proximity Director Italy,M/EN (Rome),
23_Xavier_NICOLAS,Xavier NICOLAS,1_CHRIS_ALLAM,Director Missile Design and Proximity Director France,M/EN (Le Plessis-Robinson),
24_Mark_SLATER,Mark SLATER,1_CHRIS_ALLAM,SPECIAL ADVISOR,M/UK (Stevenage),
25_STEVE_CULL,STEVE CULL,1_CHRIS_ALLAM,Special Advisor & General Secretary,M/EN (Stevenage),
26_Célia_FOURNIER,Célia FOURNIER,2_FRANCO_VITTORI,Senior Audit Manager France,M/CEO/IA (Le Plessis-Robinson),
27_LETIZIA_IULIANO,LETIZIA IULIANO,2_FRANCO_VITTORI,HEAD OF INTERNAL AUDIT ITALY,M/CEO/IA (Rome),
28_Lisa_Johnstone,Lisa Johnstone,2_FRANCO_VITTORI,Group Internal Audit Manager,M/CEO/IA (Stevenage),
29_Stefan_Wolf,Stefan Wolf,2_FRANCO_VITTORI,Senior Audit Manager,M/CEO/IA (Schrobenhausen),
30_DAVID_MARIA_SERGOLA,DAVID MARIA SERGOLA,3_GIOVANNI_SOCCODATO,HEAD OF SECURITY MANAGEMENT ITALY,M/IT (Rome),
31_Florent_DULEUX,Florent DULEUX,3_GIOVANNI_SOCCODATO,Group Director Export Sales,M/GB (Le Plessis-Robinson),
32_FRANCESCO_MUNGO,FRANCESCO MUNGO,3_GIOVANNI_SOCCODATO,Deputy Managing Director Italy,M/IT (Rome),
33_Franck_SEUZARET,Franck SEUZARET,3_GIOVANNI_SOCCODATO,Director Technical & Military Operations,M/GB (Le Plessis-Robinson),
34_FRANCO_DONFRANCESCO,FRANCO DONFRANCESCO,3_GIOVANNI_SOCCODATO,NATIONAL SBD DIRECTOR MBDA ITALY,M/GB (Rome),
35_George_KYRIAKIDES,George KYRIAKIDES,3_GIOVANNI_SOCCODATO,INTL INDUSTRIAL COOPERATION DIRECTOR,M/GB (Stevenage),
36_GIUSEPPE_COSSIGA,GIUSEPPE COSSIGA,3_GIOVANNI_SOCCODATO,Head of Institutional affairs Italy,M/IT (Rome),
37_Guido_Brendler,Guido Brendler,3_GIOVANNI_SOCCODATO,Sales & Business Development Director Germany,M/GB (Schrobenhausen),
38_James_ALLIBONE,James ALLIBONE,3_GIOVANNI_SOCCODATO,GROUP BUSINESS DEVELOPMENT DIRECTOR,M/GB (Bristol),
39_Jean-René_GOURION,Jean-René GOURION,3_GIOVANNI_SOCCODATO,Directeur Business Development et Commerce France et Directeur Général Délégué MBDA France,M/GB (Le Plessis-Robinson),
40_Loïc_PIEDEVACHE,Loïc PIEDEVACHE,3_GIOVANNI_SOCCODATO,Group Head of Corporate Marketing,M/GB (Le Plessis-Robinson),
41_ROBERTO_CASAULA,ROBERTO CASAULA,3_GIOVANNI_SOCCODATO,COMOPS DIRECTOR,M/GB (Rome),
42_Suzanne_JUDE,Suzanne JUDE,3_GIOVANNI_SOCCODATO,UK Sales and Business Development Director,M/GB (Stevenage),
43_CRISTINA_MOZZONI,CRISTINA MOZZONI,3_GIOVANNI_SOCCODATO,PERSONAL ASSISTANT,M/IT (Rome),
44_EVA_MARIA_BRUXMEIER,EVA MARIA BRUXMEIER,3_GIOVANNI_SOCCODATO,DIRECTOR GCAP,M/IT (Rome),
45_FRANCESCO_BERNARDI,FRANCESCO BERNARDI,3_GIOVANNI_SOCCODATO,CHIEF OF STAFF,M/IT (Rome),
46_GABRIELLA_QUARANTA,GABRIELLA QUARANTA,3_GIOVANNI_SOCCODATO,EGD SBD & MD IT  ASSISTANT,M/IT (Rome),
47_Paul_Mead,Paul Mead,3_GIOVANNI_SOCCODATO,SPECIAL ADVISOR,M/GB (Bristol),
48_Ryan_HURRIL,Ryan HURRIL,3_GIOVANNI_SOCCODATO,Group Head - SBD Strategic Transformation & Chief of Staff,M/GB (Stevenage),
49_AILEEN_RANDHAWA,AILEEN RANDHAWA,4_Gordon_Pitman,HR DIRECTOR MBDA UK,M/GH (Bolton),
50_Ben_NIBLETT,Ben NIBLETT,4_Gordon_Pitman,HR Director - e-HR,M/GH (Stevenage),
51_Catherine_PERRAUD-BALAINE,Catherine PERRAUD-BALAINE,4_Gordon_Pitman,Group Head of Learning & Development,M/GH (Le Plessis-Robinson),
52_DEBBIE_QUINN,DEBBIE QUINN,4_Gordon_Pitman,HRD Operations,M/GH (Stevenage),
53_Dorothée_FLEURY,Dorothée FLEURY,4_Gordon_Pitman,HRD Programmes,M/GH (Le Plessis-Robinson),
54_Jean-Baptiste_ERTLE,Jean-Baptiste ERTLE,4_Gordon_Pitman,HRD MBDA Fr & HR Transformation,M/GH (Le Plessis-Robinson),
55_JOHN_MURRAY,JOHN MURRAY,4_Gordon_Pitman,HR Director Business Support and Remuneration & Benefits,M/GH (Bolton),
56_Marc_Zizmann,Marc Zizmann,4_Gordon_Pitman,Human Resources Director Germany,M/GH (Schrobenhausen),
57_Sébastien_BROCHARD,Sébastien BROCHARD,4_Gordon_Pitman,HR Director Engineering and T&P,M/GH (Le Plessis-Robinson),
58_STEFANO_TONCICH,STEFANO TONCICH,4_Gordon_Pitman,HR DIRECTOR MBDA ITALY AND SBD HR DIRECTOR,M/GH (Rome),
59_Molly_McGirr-Blanchard,Molly McGirr-Blanchard,4_Gordon_Pitman,Executive Assistant,M/GH (Stevenage),
60_SHARON_DENTON,SHARON DENTON,4_Gordon_Pitman,HRD Improvement and Engagement,M/GH (Stevenage),
61_Catherine_COLLIGNON,Catherine COLLIGNON,5_Gregory_GAVROY,Group Head of Exhibitions,M/CEO/C (Le Plessis-Robinson),
62_Clémence_GIRAUDEAU,Clémence GIRAUDEAU,5_Gregory_GAVROY,Group Head of Brand & Business Communications,M/CEO/C (Le Plessis-Robinson),
63_Ian_PURCELL,Ian PURCELL,5_Gregory_GAVROY,Group Head of Digital & Multimedia,M/CEO/C (Stevenage),
64_Julien_WATELET,Julien WATELET,5_Gregory_GAVROY,Group Head of Media Relations & Social Networks,M/CEO/C (Le Plessis-Robinson),
65_Louis-Gonzague_ADAM,Louis-Gonzague ADAM,5_Gregory_GAVROY,Group Head of Protocol and Events,M/CEO/C (Le Plessis-Robinson),
66_ROBERTA_ACOCELLA,ROBERTA ACOCELLA,5_Gregory_GAVROY,Group Head of Internal Communications,M/CEO/C (Rome),
67_Sophie_BREHINIER,Sophie BREHINIER,5_Gregory_GAVROY,Assistante de Manager,M/CEO/C (Le Plessis-Robinson),
68_Virginie_HERY,Virginie HERY,5_Gregory_GAVROY,Chief of Staff,M/CEO/C (Le Plessis-Robinson),
69_Denis_GARDIN,Denis GARDIN,6_GUIDO_LAMI,Group Innovation and Future Technologies Director,M/CT (Le Plessis-Robinson),
70_GREG_BULL,GREG BULL,6_GUIDO_LAMI,Group Transformation Director,M/CT (Stevenage),
71_Jean-François_HAYE,Jean-François HAYE,6_GUIDO_LAMI,Group Technical Excellence and Knowledge Management Director,M/CT (Le Plessis-Robinson),
72_NATHAN_ASHFIELD,NATHAN ASHFIELD,6_GUIDO_LAMI,Group IRAD & Technology Director,M/CT (Bristol),
73_Pierre_SIELI,Pierre SIELI,6_GUIDO_LAMI,Head of Process Strategic Change & Special  Missions,M/CT (Le Plessis-Robinson),
74_Stéphane_BURZAWA,Stéphane BURZAWA,6_GUIDO_LAMI,Group Product Assurance Director,M/CT (Le Plessis-Robinson),
75_Kelly_YARWOOD,Kelly YARWOOD,6_GUIDO_LAMI,General Secretary - Technology and Performance,M/CT (Stevenage),
76_LUISA_IAIA,LUISA IAIA,6_GUIDO_LAMI,T&P PERSONAL ASSISTANT,M/CT (Rome),
77_Anne-Sophie_THIERRY-BOZETTO,Anne-Sophie THIERRY-BOZETTO,7_Hervé_DENYS_DE_BONNAVENTURE,Responsable des relations institutionnelles,M/CEO/M (Le Plessis-Robinson),
78_Augustin_STORKSEN,Augustin STORKSEN,7_Hervé_DENYS_DE_BONNAVENTURE,Spécialiste Confirmé - Affaires Publiques France,M/CEO/M (Le Plessis-Robinson),
79_Benoît_BUGAUT,Benoît BUGAUT,7_Hervé_DENYS_DE_BONNAVENTURE,Adjoint au Conseiller Défense en charge du partenariat avec les Armées,M/CEO/M (Le Plessis-Robinson),
80_Renaud_BELLAIS,Renaud BELLAIS,7_Hervé_DENYS_DE_BONNAVENTURE,Group Chief Defence Economist,M/CEO/M (Le Plessis-Robinson),
81_Valérie_HENNO,Valérie HENNO,7_Hervé_DENYS_DE_BONNAVENTURE,Assistante de Manager,M/CEO/M (Le Plessis-Robinson),
82_Caroline_DELAFFOND,Caroline DELAFFOND,8_MICHELA_BOTTAZZI,Group Director Business Ethics and corporate responsibility,M/CEO/LC (Le Plessis-Robinson),
83_Dr._Mark_Wilke,Dr. Mark Wilke,8_MICHELA_BOTTAZZI,Head of Legal Germany,M/CEO/LC (Schrobenhausen),
84_FEDERICO_FIRMANI,FEDERICO FIRMANI,8_MICHELA_BOTTAZZI,Responsabile dell'Ufficio Legale di MBDA Italia,M/CEO/LC (Rome),
85_GILES_LOCK,GILES LOCK,8_MICHELA_BOTTAZZI,Head of Legal UK,M/CEO/LC (Stevenage),
86_Karen_PACHOT,Karen PACHOT,8_MICHELA_BOTTAZZI,Group Head of ESG,M/CEO/SG (Le Plessis-Robinson),
87_MARIA_DURÁN_DEL_OJO,MARIA DURÁN DEL OJO,8_MICHELA_BOTTAZZI,Managing Director MBDA Spain,M/ES (Madrid),
88_Marie_CHARTIER-LEPANY,Marie CHARTIER-LEPANY,8_MICHELA_BOTTAZZI,Legal Director France,M/CEO/LC (Le Plessis-Robinson),
89_ALESSIA_VERDINO,ALESSIA VERDINO,8_MICHELA_BOTTAZZI,Corporate Formalities Specialist,M/CEO/LC (Rome),
90_Laëtitia_REGNIER,Laëtitia REGNIER,8_MICHELA_BOTTAZZI,Assistante de DIrection,M/CEO/SG (Le Plessis-Robinson),
91_Nathalie_PARRON,Nathalie PARRON,8_MICHELA_BOTTAZZI,Assistante,M/CEO/LC (Le Plessis-Robinson),
92_Rodolphe_VALETTE,Rodolphe VALETTE,8_MICHELA_BOTTAZZI,Group International Security Governance Manager,M/CEO/SG (Le Plessis-Robinson),
93_Sarah-Caroline_LEFORESTIER,Sarah-Caroline LEFORESTIER,8_MICHELA_BOTTAZZI,Attachée au Secrétariat Général,M/CEO/SG (Le Plessis-Robinson),
94_Dominique_Fillard,Dominique Fillard,9_PETER_BOLS,Group Director Financial Controlling and Accounting,M/GF (Schrobenhausen),
95_Hervé_DE_CREVOISIER,Hervé DE CREVOISIER,9_PETER_BOLS,Directeur Groupe Information Management,M/GF (Le Plessis-Robinson),
96_KEVIN_HUNTER,KEVIN HUNTER,9_PETER_BOLS,SPECIAL ADVISOR TO CFO,M/GF (Stevenage),
97_MARCO_PORFIRI,MARCO PORFIRI,9_PETER_BOLS,DEPUTY CFO & FINANCE ITALY DIRECTOR,M/GF (Rome),
98_NEVILLE_SLADE,NEVILLE SLADE,9_PETER_BOLS,GROUP TREASURER,M/GF (Stevenage),
99_Helen_Williamson,Helen Williamson,9_PETER_BOLS,Executive Assistant,M/GF (Stevenage),
100_ANTONELLO_FIORE,ANTONELLO FIORE,10_Philippe_BETHOUART,Operations Italy Director,M/OP (Fusaro),
101_Falk_Müller,Falk Müller,10_Philippe_BETHOUART,Operations Director Germany,M/OP (Schrobenhausen),
102_Frédéric_WILMOT,Frédéric WILMOT,10_Philippe_BETHOUART,Directeur Industriel France et Directeur des Sites en Région Centre,M/OP (Bourges Aéroport),
103_JAMES_MILLIGAN,JAMES MILLIGAN,10_Philippe_BETHOUART,Director of Manufacturing UK,M/OP (Bolton),
104_Jean-Jacques_GAVORY,Jean-Jacques GAVORY,10_Philippe_BETHOUART,Directeur Industrial policies & Global supply chain,M/OP (Le Plessis-Robinson),
105_Marc_MIALOT,Marc MIALOT,10_Philippe_BETHOUART,Directeur de l'Ingénierie Electronique,M/OP (Le Plessis-Robinson),
106_Matt_BEAUMONT,Matt BEAUMONT,10_Philippe_BETHOUART,Director of Mechanical Engineering,M/OP (Stevenage),
107_Stéphanie_BADER,Stéphanie BADER,10_Philippe_BETHOUART,"Group Head Of Business - OPERATIONS, ET &  COFEX",M/OP/P (Le Plessis-Robinson),
108_Sophie_DUCOMBEAU,Sophie DUCOMBEAU,10_Philippe_BETHOUART,Assistante de direction,M/OP (Le Plessis-Robinson),
109_Vincent_PAIN,Vincent PAIN,10_Philippe_BETHOUART,Head of Industrial Cost and Lead Time,M/OP/P/IP (Le Plessis-Robinson),
110_ANDREA_LUCATELLI,ANDREA LUCATELLI,11_Stéphane_REB,GROUP HEAD OF COST ENGINEERING,M/PR/FB (Rome),
111_ANDY_BRADFORD,ANDY BRADFORD,11_Stéphane_REB,Air Dominance Group Director,M/PR (Stevenage),
112_Anne_DIAZ_DE_TUESTA,Anne DIAZ DE TUESTA,11_Stéphane_REB,Administratrice MBDA France et Directrice des Programmes d'Eurosam,M/FR (La Boursidière),
113_Bruno_ATHIEL,Bruno ATHIEL,11_Stéphane_REB,Group Head of PLO Programmes,M/PR/FB (Le Plessis-Robinson),
114_Bruno_CAPITANT,Bruno CAPITANT,11_Stéphane_REB,Directeur Groupe des Services et du Soutien aux Clients,M/PR (Le Plessis-Robinson),
115_Christophe_LANDEAU,Christophe LANDEAU,11_Stéphane_REB,Manager Hiérarchique,M/PR (Le Plessis-Robinson),
116_Dominique_CHIFFERT,Dominique CHIFFERT,11_Stéphane_REB,Force Protection Director,M/PR (Le Plessis-Robinson),
117_Jean-Luc_GAILLOT,Jean-Luc GAILLOT,11_Stéphane_REB,Directeur Général Délégué Activité et Fonctionnement Opérationnel,M/FR (Le Plessis-Robinson),
118_Jean-Pierre_GUILMOT,Jean-Pierre GUILMOT,11_Stéphane_REB,Deep Strike Director,M/PR (Le Plessis-Robinson),
119_JIM_PRICE,JIM PRICE,11_Stéphane_REB,Group Managing Director Poland,M/PR (Stevenage),
120_Martial_TRUFFIN,Martial TRUFFIN,11_Stéphane_REB,Directeur Secteur CNA,M/PR (Le Plessis-Robinson),
121_MICHAEL_MEW,MICHAEL MEW,11_Stéphane_REB,Tactical Strike Director,M/PR (Bristol),
122_Patrick_PHILIPPART,Patrick PHILIPPART,11_Stéphane_REB,Export Operations Director,M/PR (Le Plessis-Robinson),
123_Pierre_GAIDE,Pierre GAIDE,11_Stéphane_REB,Programmes Bids Director,M/PR/FB (Le Plessis-Robinson),
124_Raj_PATEL,Raj PATEL,11_Stéphane_REB,DIRECTOR OF MAJOR EQUIPMENT PROCUREMENT,M/PR (Stevenage),
125_STEFANO_BORRINI,STEFANO BORRINI,11_Stéphane_REB,Director Area Protection and Italian Anti-Ship and Deputy Executive Group Director Programmes,M/PR (Rome),
126_Thomas_Malenke,Thomas Malenke,11_Stéphane_REB,Battlefield & German Portfolio Director,M/PR (Schrobenhausen),
127_Carine_PORTE,Carine PORTE,11_Stéphane_REB,Directeur de Cabinet,M/FR (Le Plessis-Robinson),
128_ELYSIA_DUTCH,ELYSIA DUTCH,11_Stéphane_REB,Chief of Staff,M/PR (Bolton),
129_Frank_BASTART_(On_Leave),Frank BASTART (On Leave),11_Stéphane_REB,Responsable du Secteur CNA,M/PR (Le Plessis-Robinson),
130_Jean-Bernard_CURET,Jean-Bernard CURET,11_Stéphane_REB,Chargé de mission Industrie et Futurs Produits,M/FR (Le Plessis-Robinson),
131_Pierre-André_ROTH,Pierre-André ROTH,11_Stéphane_REB,Product Safety & Cyber Security Director,M/PR (Le Plessis-Robinson),
132_Rob_KLEIN,Rob KLEIN,11_Stéphane_REB,SPECIAL PROJECTS DIRECTOR,M/PR (Stevenage),
133_Thierry_LECLERCQ,Thierry LECLERCQ,11_Stéphane_REB,Président GDI Simulation,M/FR (Le Plessis-Robinson),
134_Vanessa_GOSSA,Vanessa GOSSA,11_Stéphane_REB,Assistante de Direction,M/PR (Le Plessis-Robinson),
135_Alexandre_PAPAEMMANUEL,Alexandre PAPAEMMANUEL,12_Thomas_Gottschild,Business Strategy Director,M/GS (Le Plessis-Robinson),
136_Andreas_Seitz,Andreas Seitz,12_Thomas_Gottschild,Managing Director TDW Gesellschaft für verteidigungstechnische Wirksysteme mbH,M/DE (Schrobenhausen),
137_Dirk_Zimper,Dirk Zimper,12_Thomas_Gottschild,Future Systems Director Germany,M/DE (Schrobenhausen),
138_Dr._Patrick_Fitschen,Dr. Patrick Fitschen,12_Thomas_Gottschild,Head of Public Affairs Germany,M/DE (Schrobenhausen),
139_Dr._Roland_Kuntze,Dr. Roland Kuntze,12_Thomas_Gottschild,Head of Communications Germany,M/DE (Schrobenhausen),
140_Dr._Wolfgang_Rieck,Dr. Wolfgang Rieck,12_Thomas_Gottschild,Managing Director Bayern-Chemie für flugchemische Antriebe mbH,M/DE (Aschau am Inn),
141_Gerald_Giese,Gerald Giese,12_Thomas_Gottschild,Chief of Staff,M/DE (Schrobenhausen),
142_Gianni_Rematore,Gianni Rematore,12_Thomas_Gottschild,Head of Export Control and Customs Germany,M/DE (Schrobenhausen),
143_Harold_VANDENBOSSCHE,Harold VANDENBOSSCHE,12_Thomas_Gottschild,Planning & Strategic Analysis Director,M/GS (Le Plessis-Robinson),
144_Joachim_Knopf,Joachim Knopf,12_Thomas_Gottschild,Managing Director TAURUS Systems GmbH,M/DE (Schrobenhausen),
145_Marco_Andrea_DA_MOSTO,Marco Andrea DA MOSTO,12_Thomas_Gottschild,Mergers and Acquisitions Director,M/GS (Le Plessis-Robinson),
146_Stefan_Stockfisch,Stefan Stockfisch,12_Thomas_Gottschild,Managing Director RAM Systems GmbH,M/DE (Schrobenhausen),
147_Vincent_THOMASSIER,Vincent THOMASSIER,12_Thomas_Gottschild,Strategic Cooperation & Marketing Director,M/GS (Le Plessis-Robinson),
148_Anita_Hofmann,Anita Hofmann,12_Thomas_Gottschild,Personal Assistant to the Managing Director Germany,M/DE (Schrobenhausen),
149_Charles_HUYGHUES-DESPOINTES,Charles HUYGHUES-DESPOINTES,12_Thomas_Gottschild,M&A Director,M/GS (Le Plessis-Robinson),
150_Gil_Dolov,Gil Dolov,12_Thomas_Gottschild,Senior Military Advisor,M/DE (Schrobenhausen),
151_Chris_ALLARD,Chris ALLARD,15_Bruno_VERZOTTI,Head of FCAS,M/EN/FS (Bristol),
152_CHRISTIAN_DI_BIAGIO,CHRISTIAN DI BIAGIO,15_Bruno_VERZOTTI,Group Head of Force Protection & Battlefield - Future Systems,M/EN/FS (Rome),
153_Judith_Emma_Simpson,Judith Emma Simpson,15_Bruno_VERZOTTI,Group Head of Area Protection & Air Dominance - Future Systems,M/EN/FS (Stevenage),
154_Lionel_MAZENQ,Lionel MAZENQ,15_Bruno_VERZOTTI,Group Head of Programme Incubator,M/EN/FS (Le Plessis-Robinson),
155_Loïc_RULLIERE,Loïc RULLIERE,15_Bruno_VERZOTTI,Group Head of Strike - Future Systems,M/EN/FS (Le Plessis-Robinson),
156_ROGER_GRIFFITHS,ROGER GRIFFITHS,15_Bruno_VERZOTTI,GROUP HEAD OF SPARKWORKS,M/EN/FS (Bristol),
157_Symone_HYMANSON-POWNALL,Symone HYMANSON-POWNALL,15_Bruno_VERZOTTI,Group Head Business Future Systems,M/EN/FS (Stevenage),
158_Hugues_POINTFER,Hugues POINTFER,15_Bruno_VERZOTTI,Conseiller technico opérationnel des Systèmes Futurs,M/EN/FS (Le Plessis-Robinson),
159_Maiwenn_MORIZE,Maiwenn MORIZE,15_Bruno_VERZOTTI,ASSISTANT(E) DE MANAGER (France),M/EN/FS (Le Plessis-Robinson),
160_Kelly_Anne_Ashton,Kelly Anne Ashton,16_CHRIS_OWEN,Business Associate,M/UK/COS (Stevenage),
161_ALICE_BOARDMAN,ALICE BOARDMAN,17_Dr.-Ing._Ulrich_Nuding,Group Head of Functional Capability & Skills,M/EN/CG (Bolton),
162_Denis_VAUQUIER,Denis VAUQUIER,17_Dr.-Ing._Ulrich_Nuding,Group Head of Digital Transformation & Tools,M/EN/CG (Le Plessis-Robinson),
163_Dr._Arno_von_der_Fecht,Dr. Arno von der Fecht,17_Dr.-Ing._Ulrich_Nuding,Group Head of Integration & Improvement,M/EN/CG (Schrobenhausen),
164_Dr._Dirk_Brade,Dr. Dirk Brade,17_Dr.-Ing._Ulrich_Nuding,Head of System Design,M/EN/EG (Schrobenhausen),
165_Dr._Ingo_Bauermann,Dr. Ingo Bauermann,17_Dr.-Ing._Ulrich_Nuding,Head of Algorithms & Effects Management,M/EN/EG (Schrobenhausen),
166_Dr._Michael_Schuster,Dr. Michael Schuster,17_Dr.-Ing._Ulrich_Nuding,Head of System Simulation & Validation,M/EN/EG (Schrobenhausen),
167_Matthew_Young,Matthew Young,17_Dr.-Ing._Ulrich_Nuding,Project Leader End to End MBE,M/EN/CG (Bristol),
168_PIETRO_PICCIRILLI,PIETRO PICCIRILLI,17_Dr.-Ing._Ulrich_Nuding,Group Head of Process and Methods,M/EN/CG (Rome),
169_Sascha_Bovensiepen,Sascha Bovensiepen,17_Dr.-Ing._Ulrich_Nuding,Head of Software,M/EN/EG (Schrobenhausen),
170_Thomas_Kuligk,Thomas Kuligk,17_Dr.-Ing._Ulrich_Nuding,"Head of Seekers, Sensors & Communications",M/EN/EG (Schrobenhausen),
171_Volker_Stucky,Volker Stucky,17_Dr.-Ing._Ulrich_Nuding,Head of Embedded Systems,M/EN/EG (Schrobenhausen),
172_Andreas_Eckert,Andreas Eckert,17_Dr.-Ing._Ulrich_Nuding,Directorate Officer Engineering,M/EN/EG (Schrobenhausen),
173_Dr._Elmar_Wallner,Dr. Elmar Wallner,17_Dr.-Ing._Ulrich_Nuding,Senior Expert Missile Dynamics,M/EN/EG (Schrobenhausen),
174_Dr._Jürgen_Zoz,Dr. Jürgen Zoz,17_Dr.-Ing._Ulrich_Nuding,Senior Expert Laserweapons & Optronic Systems,M/EN/EG (Schrobenhausen),
175_Prof._Dr._Johann_Dambeck,Prof. Dr. Johann Dambeck,17_Dr.-Ing._Ulrich_Nuding,Senior Expert System Design of Weapon Systems,M/EN/EG (Schrobenhausen),
176_AMY_TAIT,AMY TAIT,18_Louise_HOLMES,Head of Offload UK,M/UK/DMD (Bristol),
177_JONATHAN_SEWELL,JONATHAN SEWELL,18_Louise_HOLMES,Business Advisor - Industrial Enterprise,M/UK/SA (Stevenage),
178_SIMON_LANGDALE,SIMON LANGDALE,18_Louise_HOLMES,CB - Business Operational Managers (UK),M/UK/DMD (Stevenage),
179_Tom_Page,Tom Page,18_Louise_HOLMES,BUSINESS ADVISOR - DEFENCE ENTERPRISE,M/UK/SA (Stevenage),
180_CHRIS_JORDAN,CHRIS JORDAN,18_Louise_HOLMES,Head of Enterprise Planning,M/UK/DMD (Stevenage),
181_Natasha_Allen,Natasha Allen,18_Louise_HOLMES,HEAD OF EXPORT COMPLIANCE UK,M/UK/DMD (Stevenage),
182_PAUL_CRAWLEY,PAUL CRAWLEY,18_Louise_HOLMES,Special Advisor,M/UK/DMD (Stevenage),
183_Sophie_Cowan,Sophie Cowan,18_Louise_HOLMES,General Secretary to the Resource Steering Committee,M/UK/DMD (Stevenage),
184_CARLO_COLANDREA,CARLO COLANDREA,19_PAUL_HAUGHTON,Head of Weapon System Design IT,M/EN/WS (Rome),
185_PAUL_GOODWIN,PAUL GOODWIN,19_PAUL_HAUGHTON,HEAD OF WEAPON SYSTEM DESIGN UK,M/EN/WS (Bristol),
186_Séverine_DORY,Séverine DORY,19_PAUL_HAUGHTON,Responsable Ingénierie des Systèmes d'arme France,M/EN/WS (Le Plessis-Robinson),
187_GRAEME_LAYCOCK,GRAEME LAYCOCK,19_PAUL_HAUGHTON,Chief of Staff - Weapon Systems Directorate,M/EN/WS/CS (Bristol),
188_JON_THROWER,JON THROWER,19_PAUL_HAUGHTON,TECHNICAL EXPERT LEVEL C,M/EN/WS (Bristol),
189_ANDREAS_AVERKIOU,ANDREAS AVERKIOU,20_RICHARD_WRAY,HEAD OF BUSINESS MANAGEMENT SEEKER & DATALINK SYSTEMS,M/EN/SDS (Stevenage),
190_ANDY_PYLE,ANDY PYLE,20_RICHARD_WRAY,Head of EO Seekers & Sensors,M/EN/SDS (Bristol),
191_JULIA_WARREN,JULIA WARREN,20_RICHARD_WRAY,Head of Data Link Systems,M/EN/SDS (Bristol),
192_LESLEY_LAWRENSON,LESLEY LAWRENSON,20_RICHARD_WRAY,CHIEF OF STAFF-SDS & ENGINEERING PROX UK,M/EN/SDS/EP (Stevenage),
193_PAOLO_RINALDI,PAOLO RINALDI,20_RICHARD_WRAY,GROUP HEAD OF SEEKER DIVISION,M/EN/SDS (Rome),
